journal_name	category	citations	if_2022	jci	percentageOAGold
Expert Review of Hematology	HEMATOLOGY - SCIE(Q3)	2292	2.819	0.36	9.42
Applied Physics Express	PHYSICS, APPLIED - SCIE(Q2)	11051	2.819	0.59	7.47
Cognition Technology & Work	"ERGONOMICS - SSCI(Q3); ENGINEERING, INDUSTRIAL - SCIE(Q3)"	1333	2.818	0.55	34.62
Minerals	"GEOCHEMISTRY & GEOPHYSICS - SCIE(Q2); MINERALOGY - SCIE(Q2); MINING & MINERAL PROCESSING - SCIE(Q2)"	9950	2.818	0.78	95.14
Operative Neurosurgery	"SURGERY - SCIE(Q2); CLINICAL NEUROLOGY - SCIE(Q3)"	2779	2.817	0.85	3.53
Nuclear Engineering and Technology	NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q1)	4512	2.817	1.32	99.90
ACTA NEUROCHIRURGICA	"SURGERY - SCIE(Q2); CLINICAL NEUROLOGY - SCIE(Q3)"	12582	2.816	0.78	26.01
VETERINARY RESEARCH COMMUNICATIONS	VETERINARY SCIENCES - SCIE(Q1)	2334	2.816	1.08	14.29
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL	"NUTRITION & DIETETICS - SCIE(Q3); ONCOLOGY - SCIE(Q4)"	8173	2.816	0.54	2.52
FEMINIST REVIEW	WOMENS STUDIES - SSCI(Q1)	1311	2.816	1.03	7.69
CURRENT PROBLEMS IN SURGERY	SURGERY - SCIE(Q2)	690	2.815	0.59	2.50
FISHERIES RESEARCH	FISHERIES - SCIE(Q2)	12608	2.815	0.96	10.48
Photonic Sensors	"OPTICS - SCIE(Q2); INSTRUMENTS & INSTRUMENTATION - SCIE(Q2)"	1023	2.814	0.78	100.00
SLAS Technology	"CHEMISTRY, ANALYTICAL - SCIE(Q3); BIOCHEMICAL RESEARCH METHODS - SCIE(Q3)"	780	2.813	0.59	18.75
Universe	"ASTRONOMY & ASTROPHYSICS - SCIE(Q2); PHYSICS, PARTICLES & FIELDS - SCIE(Q3)"	2298	2.813	0.51	93.34
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED	PSYCHOLOGY, APPLIED - SSCI(Q3)	3106	2.813	0.89	0.56
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY	REHABILITATION - SSCI(Q1)	6344	2.813	0.71	0.62
BMC Molecular and Cell Biology	CELL BIOLOGY - SCIE(Q4)	438	2.813	0.35	99.49
LETTERS IN APPLIED MICROBIOLOGY	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q3); MICROBIOLOGY - SCIE(Q4)"	10575	2.813	0.56	6.16
Preventive Medicine Reports	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q3)	3908	2.813	0.71	99.65
EXPERT SYSTEMS	"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q2); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q3)"	1833	2.812	0.66	4.44
FUNCTIONAL PLANT BIOLOGY	PLANT SCIENCES - SCIE(Q2)	7634	2.812	0.78	10.00
SOLID STATE NUCLEAR MAGNETIC RESONANCE	"SPECTROSCOPY - SCIE(Q2); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q2); PHYSICS, CONDENSED MATTER - SCIE(Q3); CHEMISTRY, PHYSICAL - SCIE(Q3)"	1566	2.812	0.59	8.00
MOLECULAR REPRODUCTION AND DEVELOPMENT	"DEVELOPMENTAL BIOLOGY - SCIE(Q3); REPRODUCTIVE BIOLOGY - SCIE(Q3); CELL BIOLOGY - SCIE(Q4); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)"	6592	2.812	0.53	8.67
JOURNAL OF FINANCIAL RESEARCH	BUSINESS, FINANCE - SSCI(Q2)	1778	2.811	0.44	8.33
Journal of English for Academic Purposes	"LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS - SSCI(Q1); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2)"	2100	2.811	2.23	5.38
Marine Resource Economics	"ECONOMICS - SSCI(Q2); FISHERIES - SCIE(Q2); ENVIRONMENTAL STUDIES - SSCI(Q3)"	1125	2.811	0.80	0.00
Earthquake Engineering and Engineering Vibration	"ENGINEERING, GEOLOGICAL - SCIE(Q3); ENGINEERING, CIVIL - SCIE(Q3)"	2538	2.810	0.63	0.00
PSYCHIATRIC REHABILITATION JOURNAL	"REHABILITATION - SSCI(Q1); PSYCHIATRY - SSCI(Q3)"	2441	2.809	0.82	0.00
Computational and Mathematical Methods in Medicine	MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q2)	4464	2.809	0.62	98.74
JOURNAL OF APPLIED BEHAVIOR ANALYSIS	PSYCHOLOGY, CLINICAL - SSCI(Q3)	6859	2.809	0.82	2.28
MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY	MATHEMATICS - SCIE(Q1)	3336	2.808	1.28	0.00
Asian Journal of Surgery	SURGERY - SCIE(Q2)	1975	2.808	0.93	99.77
CURRENT OPINION IN UROLOGY	UROLOGY & NEPHROLOGY - SCIE(Q3)	2310	2.808	0.52	1.39
Journal of International Financial Management & Accounting	BUSINESS, FINANCE - SSCI(Q2)	679	2.808	0.80	13.95
JOURNAL OF REGIONAL SCIENCE	"ECONOMICS - SSCI(Q2); ENVIRONMENTAL STUDIES - SSCI(Q3); REGIONAL & URBAN PLANNING - SSCI(Q3)"	3238	2.807	0.68	23.74
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW	"LAW - SSCI(Q1); PSYCHIATRY - SSCI(Q3)"	1450	2.807	1.31	0.00
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	"ENVIRONMENTAL SCIENCES - SCIE(Q3); TOXICOLOGY - SCIE(Q3)"	11445	2.807	0.53	2.43
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	"PHARMACOLOGY & PHARMACY - SCIE(Q3); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q3)"	1804	2.807	0.53	7.45
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING	MULTIDISCIPLINARY SCIENCES - SCIE(Q2)	11881	2.807	0.56	1.24
Public Performance & Management Review	PUBLIC ADMINISTRATION - SSCI(Q2)	1558	2.806	0.99	9.29
EUROPEAN JOURNAL OF DERMATOLOGY	DERMATOLOGY - SCIE(Q2)	3439	2.805	0.61	0.00
Cost Effectiveness and Resource Allocation	HEALTH POLICY & SERVICES - SSCI(Q3)	1023	2.803	0.83	99.35
AUSTRALIAN JOURNAL OF PSYCHOLOGY	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q2)	1494	2.803	0.72	3.13
Journal of Water and Climate Change	WATER RESOURCES - SCIE(Q3)	1527	2.803	0.64	63.09
International Journal of Endocrinology	ENDOCRINOLOGY & METABOLISM - SCIE(Q4)	5712	2.803	0.53	99.13
Jornal Brasileiro de Pneumologia	RESPIRATORY SYSTEM - SCIE(Q4)	2165	2.800	0.41	99.41
Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3)	1000	2.800	0.48	41.56
NEUROSURGICAL REVIEW	"SURGERY - SCIE(Q2); CLINICAL NEUROLOGY - SCIE(Q3)"	4344	2.800	0.84	19.54
Arthropod Systematics & Phylogeny	ENTOMOLOGY - SCIE(Q1)	486	2.800	1.11	37.88
BMJ Military Health	MEDICINE, GENERAL & INTERNAL - SCIE(Q3)	403	2.800	0.42	8.76
OPTICAL FIBER TECHNOLOGY	"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); OPTICS - SCIE(Q2); TELECOMMUNICATIONS - SCIE(Q3)"	4204	2.800	0.76	3.18
RESEARCH EVALUATION	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q2)	1770	2.800	1.00	31.03
SEPARATION SCIENCE AND TECHNOLOGY	"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q3); ENGINEERING, CHEMICAL - SCIE(Q3)"	10993	2.799	0.40	0.94
Medicina Intensiva	CRITICAL CARE MEDICINE - SCIE(Q3)	1374	2.799	0.38	2.21
INTERNATIONAL STUDIES QUARTERLY	"INTERNATIONAL RELATIONS - SSCI(Q1); POLITICAL SCIENCE - SSCI(Q2)"	5464	2.799	1.49	15.50
CLINICS IN DERMATOLOGY	DERMATOLOGY - SCIE(Q3)	5032	2.797	1.26	1.79
Johnson Matthey Technology Review	CHEMISTRY, PHYSICAL - SCIE(Q3)	613	2.797	0.33	99.02
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q3)"	7948	2.797	0.64	18.99
EXPERIMENTS IN FLUIDS	"MECHANICS - SCIE(Q2); ENGINEERING, MECHANICAL - SCIE(Q2)"	12829	2.797	0.71	28.27
QUATERNARY RESEARCH	"GEOGRAPHY, PHYSICAL - SCIE(Q3); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q3)"	8489	2.797	0.73	11.91
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING	"PHYSICS, APPLIED - SCIE(Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); PHYSICS, CONDENSED MATTER - SCIE(Q3); ENGINEERING, MANUFACTURING - SCIE(Q3)"	2185	2.796	0.63	4.09
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE	"SURGERY - SCIE(Q2); GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q4)"	8665	2.796	0.73	18.52
SCIENTIA AGRICOLA	AGRICULTURE, MULTIDISCIPLINARY - SCIE(Q2)	3813	2.796	1.05	99.55
NEUROIMMUNOMODULATION	"NEUROSCIENCES - SCIE(Q3); IMMUNOLOGY - SCIE(Q4); ENDOCRINOLOGY & METABOLISM - SCIE(Q4)"	1854	2.795	0.42	3.64
READING AND WRITING	"EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2); PSYCHOLOGY, EDUCATIONAL - SSCI(Q2)"	4720	2.795	1.26	15.82
BMC MEDICAL IMAGING	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)	2180	2.795	0.60	99.76
JOURNAL OF BIOSCIENCES	BIOLOGY - SCIE(Q3)	4042	2.795	0.50	0.26
JOURNAL OF INVERTEBRATE PATHOLOGY	ZOOLOGY - SCIE(Q1)	8329	2.795	1.41	7.98
JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME	MECHANICS - SCIE(Q2)	16911	2.794	0.63	0.48
OPTICAL AND QUANTUM ELECTRONICS	"OPTICS - SCIE(Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); QUANTUM SCIENCE & TECHNOLOGY - SCIE(Q3)"	7012	2.794	0.76	2.81
EXPERIMENTAL MECHANICS	"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE(Q2); MECHANICS - SCIE(Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3)"	7075	2.794	0.66	16.01
Voluntas	SOCIAL ISSUES - SSCI(Q2)	3498	2.794	1.11	22.64
Structural Concrete	"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q2); ENGINEERING, CIVIL - SCIE(Q3)"	3536	2.793	0.62	11.18
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY	PATHOLOGY - SCIE(Q3)	2426	2.793	0.65	7.14
YOUTH & SOCIETY	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q2); SOCIAL ISSUES - SSCI(Q2); SOCIOLOGY - SSCI(Q2)"	2628	2.793	1.41	6.04
JOURNAL OF CHEMICAL ECOLOGY	"ECOLOGY - SCIE(Q3); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)"	12239	2.793	0.58	22.79
JOURNAL OF RESEARCH IN READING	"PSYCHOLOGY, EDUCATIONAL - SSCI(Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2)"	1693	2.792	1.08	17.92
BMC Veterinary Research	VETERINARY SCIENCES - SCIE(Q1)	10358	2.792	1.39	99.47
FEBS Open Bio	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)	3550	2.792	0.44	96.37
INTERNATIONAL JOURNAL OF LEGAL MEDICINE	MEDICINE, LEGAL - SCIE(Q1)	6402	2.791	1.34	22.99
International Journal of Coal Preparation and Utilization	"MINING & MINERAL PROCESSING - SCIE(Q2); ENERGY & FUELS - SCIE(Q4)"	1112	2.791	0.58	0.33
Journal of Environmental and Public Health	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q3)"	2494	2.791	0.73	99.55
Journal of Palaeogeography-English	"PALEONTOLOGY - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q3)"	636	2.789	0.83	88.76
ACTA CHIMICA SINICA	CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q3)	2569	2.789	0.33	0.23
JOURNAL OF BIOMECHANICS	"ENGINEERING, BIOMEDICAL - SCIE(Q3); BIOPHYSICS - SCIE(Q3)"	36499	2.789	0.64	9.55
HORMONE AND METABOLIC RESEARCH	ENDOCRINOLOGY & METABOLISM - SCIE(Q4)	5479	2.788	0.58	5.12
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS	ONCOLOGY - SCIE(Q4)	5563	2.787	0.50	2.21
ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE	"PSYCHIATRY - SCIE(Q3); NEUROSCIENCES - SCIE(Q4)"	1901	2.787	0.45	1.93
Geoheritage	GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q3)	1798	2.786	0.70	13.86
JOURNAL OF HYDRAULIC ENGINEERING	"ENGINEERING, MECHANICAL - SCIE(Q2); ENGINEERING, CIVIL - SCIE(Q3); WATER RESOURCES - SCIE(Q3)"	12810	2.785	0.68	3.45
Journal of Child and Family Studies	"FAMILY STUDIES - SSCI(Q2); PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q3); PSYCHIATRY - SSCI(Q3)"	9336	2.784	0.73	10.80
Nano Communication Networks	"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); TELECOMMUNICATIONS - SCIE(Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)"	610	2.783	0.66	0.00
SOCIAL STUDIES OF SCIENCE	"HISTORY & PHILOSOPHY OF SCIENCE - AHCI(N/A); HISTORY & PHILOSOPHY OF SCIENCE - SCIE(Q1); HISTORY & PHILOSOPHY OF SCIENCE - SSCI(Q1)"	4606	2.781	2.61	41.67
BRAIN AND LANGUAGE	"LINGUISTICS - SSCI(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q2); AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE(Q2); NEUROSCIENCES - SCIE(Q4)"	7646	2.781	1.05	8.76
TOPICS IN CATALYSIS	"CHEMISTRY, APPLIED - SCIE(Q2); CHEMISTRY, PHYSICAL - SCIE(Q3)"	7915	2.781	0.46	20.53
Astronomy and Computing	"ASTRONOMY & ASTROPHYSICS - SCIE(Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3)"	1000	2.780	0.50	8.21
RIVER RESEARCH AND APPLICATIONS	"WATER RESOURCES - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q3)"	5616	2.780	0.54	17.72
Annals of Work Exposures and Health	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q3)	1060	2.779	0.67	26.03
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS	"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); PHYSICS, APPLIED - SCIE(Q2); PHYSICS, CONDENSED MATTER - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3)"	34378	2.779	0.51	1.19
RESEARCH IN THE TEACHING OF ENGLISH	EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2)	929	2.778	1.24	0.00
APPLIED ARTIFICIAL INTELLIGENCE	"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q3)"	1399	2.777	0.42	18.53
CHILD PSYCHIATRY & HUMAN DEVELOPMENT	"PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q3); PSYCHIATRY - SSCI(Q3)"	4153	2.776	0.80	21.00
RADIATION PHYSICS AND CHEMISTRY	"NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q1); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q2); CHEMISTRY, PHYSICAL - SCIE(Q3)"	12961	2.776	0.90	1.90
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS	"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q2); COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q3)"	6942	2.775	0.70	7.50
International Journal of Simulation Modelling	"ENGINEERING, INDUSTRIAL - SCIE(Q3); ENGINEERING, MANUFACTURING - SCIE(Q3)"	872	2.775	0.58	100.00
Information Systems and E-Business Management	"MANAGEMENT - SSCI(Q4); BUSINESS - SSCI(Q4)"	1066	2.775	0.66	13.33
Journal of Electrochemical Science and Technology	ELECTROCHEMISTRY - SCIE(Q4)	635	2.774	0.27	79.02
Migration Studies	DEMOGRAPHY - SSCI(Q2)	676	2.774	1.02	20.00
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS	"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q1)"	11531	2.774	1.98	13.95
JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3)	8879	2.774	0.45	4.05
Economics & Human Biology	"ECONOMICS - SSCI(Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q3)"	2311	2.774	0.86	15.05
Canadian Journal of Diabetes	ENDOCRINOLOGY & METABOLISM - SCIE(Q4)	2781	2.774	0.73	5.54
GEOINFORMATICA	"GEOGRAPHY, PHYSICAL - SCIE(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q3)"	887	2.773	0.71	8.18
International Journal for Parasitology-Parasites and Wildlife	"PARASITOLOGY - SCIE(Q2); ECOLOGY - SCIE(Q3)"	1791	2.773	0.68	100.00
REVISTA DE SAUDE PUBLICA	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q3)"	6124	2.772	0.66	94.09
PLANT PATHOLOGY	"AGRONOMY - SCIE(Q2); PLANT SCIENCES - SCIE(Q2)"	9745	2.772	0.80	13.79
ORTHOPEDIC CLINICS OF NORTH AMERICA	ORTHOPEDICS - SCIE(Q2)	3828	2.771	0.99	0.61
Journal of Web Semantics	"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q2); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q3)"	1110	2.770	0.69	15.19
International Review of Research in Open and Distributed Learning	EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2)	3489	2.770	1.59	0.58
INFORMATION ECONOMICS AND POLICY	ECONOMICS - SSCI(Q2)	1025	2.769	0.64	5.63
Advances in Biochemical Engineering-Biotechnology	BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q3)	2641	2.768	0.65	0.76
JOURNAL OF SOCIAL PSYCHOLOGY	PSYCHOLOGY, SOCIAL - SSCI(Q3)	4921	2.768	0.71	7.69
UROLOGIC CLINICS OF NORTH AMERICA	UROLOGY & NEPHROLOGY - SCIE(Q3)	2320	2.766	0.72	1.15
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT	DEVELOPMENT STUDIES - SSCI(Q2)	1451	2.766	0.74	1.71
ANNALS OF APPLIED BIOLOGY	AGRICULTURE, MULTIDISCIPLINARY - SCIE(Q2)	6860	2.766	0.96	11.30
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS	MATHEMATICS, APPLIED - SCIE(Q1)	5840	2.765	1.48	2.53
Clinical Cosmetic and Investigational Dermatology	DERMATOLOGY - SCIE(Q3)	2137	2.765	0.81	94.33
Fashion and Textiles	MATERIALS SCIENCE, TEXTILES - SCIE(Q1)	588	2.765	0.74	100.00
Career Development and Transition for Exceptional Individuals	"REHABILITATION - SSCI(Q1); EDUCATION, SPECIAL - SSCI(Q1)"	731	2.764	1.05	8.33
CROP SCIENCE	AGRONOMY - SCIE(Q2)	24992	2.763	0.90	30.29
Evaluation	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q2)	1564	2.763	1.25	27.50
SIAM JOURNAL ON OPTIMIZATION	MATHEMATICS, APPLIED - SCIE(Q1)	10451	2.763	1.48	1.08
ATOMIC DATA AND NUCLEAR DATA TABLES	"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q2); PHYSICS, NUCLEAR - SCIE(Q2)"	3440	2.762	0.96	4.05
Applied Clinical Informatics	MEDICAL INFORMATICS - SCIE(Q3)	1840	2.762	0.62	12.03
JOURNAL OF INTERNATIONAL MONEY AND FINANCE	BUSINESS, FINANCE - SSCI(Q2)	6865	2.762	1.08	5.51
MEDICAL ANTHROPOLOGY QUARTERLY	"ANTHROPOLOGY - SSCI(Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q3)"	1590	2.761	0.93	15.05
CANCER NURSING	"NURSING - SCIE(Q1); NURSING - SSCI(Q1); ONCOLOGY - SCIE(Q4)"	4332	2.760	1.00	4.75
STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS	"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q2); ENGINEERING, CIVIL - SCIE(Q3)"	2835	2.760	0.55	1.32
STEROIDS	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4); ENDOCRINOLOGY & METABOLISM - SCIE(Q4)"	7088	2.760	0.56	4.33
Magnetic Resonance in Medical Sciences	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)	1140	2.760	0.67	98.53
BMC GENETICS	GENETICS & HEREDITY - SCIE(Q3)	5545	2.759	0.66	99.59
Tourist Studies	HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q3)	1021	2.759	0.61	17.05
JOURNAL OF ARID ENVIRONMENTS	"ENVIRONMENTAL SCIENCES - SCIE(Q3); ECOLOGY - SCIE(Q3)"	11628	2.759	0.58	5.42
International Journal of Rail Transportation	TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q3)	503	2.759	0.66	13.40
Journal of Ambient Intelligence and Smart Environments	"TELECOMMUNICATIONS - SCIE(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q3); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q3)"	554	2.759	0.49	3.57
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE	"ENGINEERING, MECHANICAL - SCIE(Q2); ENGINEERING, MANUFACTURING - SCIE(Q3)"	6451	2.759	0.63	3.40
International Journal of Genomics	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q3); GENETICS & HEREDITY - SCIE(Q3); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)"	1588	2.758	0.47	99.38
PHYSICIAN AND SPORTSMEDICINE	"PRIMARY HEALTH CARE - SCIE(Q2); ORTHOPEDICS - SCIE(Q2); SPORT SCIENCES - SCIE(Q3)"	2364	2.758	0.80	3.26
Therapeutics and Clinical Risk Management	HEALTH CARE SCIENCES & SERVICES - SCIE(Q3)	4789	2.755	0.63	96.77
AQUATIC SCIENCES	"LIMNOLOGY - SCIE(Q2); MARINE & FRESHWATER BIOLOGY - SCIE(Q2); ENVIRONMENTAL SCIENCES - SCIE(Q3)"	3988	2.755	0.73	16.59
Cardiovascular Toxicology	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q3); TOXICOLOGY - SCIE(Q3)"	1938	2.755	0.68	6.58
BioPsychoSocial Medicine	"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q2); PSYCHIATRY - SSCI(Q3)"	721	2.754	0.57	100.00
JOURNAL OF ULTRASOUND IN MEDICINE	"ACOUSTICS - SCIE(Q2); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)"	10109	2.754	0.65	5.24
GEBURTSHILFE UND FRAUENHEILKUNDE	OBSTETRICS & GYNECOLOGY - SCIE(Q3)	1521	2.754	0.82	88.08
Baltic Journal of Management	MANAGEMENT - SSCI(Q4)	914	2.753	0.68	6.50
Dermatology Practical & Conceptual	DERMATOLOGY - SCIE(Q3)	790	2.753	0.60	90.57
Hydrology Research	WATER RESOURCES - SCIE(Q3)	2440	2.752	0.72	87.23
Experimental and Therapeutic Medicine	MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q4)	20689	2.751	0.59	98.92
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE	PSYCHIATRY - SCIE(Q3)	1440	2.750	0.54	8.52
TEACHING IN HIGHER EDUCATION	EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2)	3485	2.750	1.55	14.78
CONTRIBUTIONS TO ZOOLOGY	ZOOLOGY - SCIE(Q1)	591	2.750	1.21	97.78
VETERINARY JOURNAL	VETERINARY SCIENCES - SCIE(Q1)	10942	2.750	1.06	12.65
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE	"ANTHROPOLOGY - SSCI(Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q2)"	2306	2.750	1.28	16.44
GERODONTOLOGY	"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q3); GERIATRICS & GERONTOLOGY - SCIE(Q4)"	2510	2.750	0.75	11.70
GEODINAMICA ACTA	GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q3)	1123	2.750	0.75	100.00
MECHANICS RESEARCH COMMUNICATIONS	MECHANICS - SCIE(Q2)	3899	2.749	0.64	2.44
MEDICAL DECISION MAKING	"HEALTH POLICY & SERVICES - SSCI(Q3); HEALTH CARE SCIENCES & SERVICES - SCIE(Q3); MEDICAL INFORMATICS - SCIE(Q3)"	7018	2.749	0.78	30.74
METROLOGIA	"INSTRUMENTS & INSTRUMENTATION - SCIE(Q2); PHYSICS, APPLIED - SCIE(Q3)"	4243	2.748	0.60	21.81
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	GEOCHEMISTRY & GEOPHYSICS - SCIE(Q2)	9748	2.748	0.70	8.31
Social Movement Studies	"SOCIOLOGY - SSCI(Q2); POLITICAL SCIENCE - SSCI(Q2)"	1449	2.748	1.28	17.39
